ticker,ftcode
ERM,9287980
EMP,263825
EEG,166116
EGO,96701
ERL,6063607
EPD,8600796
EMU,9687361
ENR,4306773
ENB,3918761
ENX,68191745
EAX,38438812
EME,2754746
EOL,6195516
ERA,99947
EGY,93673
EWC,103366
EGG,228423
EN1,443098433
EGN,6087208
EOR,39509
ENC,312015836
EXO,7068075
E88,70448396
ENA,36099305
ETE,102334
ENT,7133298
EVM,103179
ESI,101874
EGL,96660
EVS,9335900
E2E,27605545
EPA,283582
EQT,99893
EQX,99925
EQE,75648
EPW,27739332
ESE,381121561
ESV,102223
ESM,22369219
ESH,37208298
EHE,81389049
ESR,44939793
ESK,49750255
EBG,94997
EGH,249956
EUC,28321076
EUR,26556595
EMH,48219243
EZL,104041
EGD,419301771
EVE,38688
EVT,41187
EVN,284769
EVO,81389048
EVZ,103324
EXG,7563110
EXP,86313930
EXU,2524736
FTT,268749
FXJ,114137
FZO,360895068
FAR,104489
FRM,112378
FFC,311741293
FBR,302385793
FE8,371418342
FPC,403332327
FPP,431390393
FFG,53697
FEI,36544095
FEL,3345509
FCR,3145469
FTZ,67173638
FFI,106371
FID,84409438
FSG,1682787
FRI,112341
FND,7479570
FCC,441223693
FGR,270431
FGF,51112915
FCT,31830469
FPH,109555
FZR,176113
FSI,285627
FGO,79984
FWD,113937
FBU,104967
FXL,6133401
FRX,87173504
FLT,108040
FMS,105672
FLC,9678116
FML,54237
FET,39731
FLK,107899
FSF,52543186
FOR,374389949
4CE,26586733
FRC,30892440
FMG,108355
FYA,80254578
FRN,28499855
FNP,256642
FIG,372878754
FDM,25249304
FHS,377933804
FLN,69292724
FPL,4974471
FCG,39747394
FDX,437510064
FDV,360823451
FNT,267711
FSA,112695
FUN,113575
FFT,88049239
FGG,298928652
FYI,248718
GMV,408837563
GUD,142924
GEM,9231396
GRB,6063610
GXY,6349881
GAP,114710
G1A,425420659
GLL,95578
GCM,355426936
GDF,276022715
GGX,1740883
GCY,21485888
GTY,274528592
GML,140018
GZL,143748
GBM,6195519
GBZ,8406435
GBT,1908420
GDI,70353567
GBI,11502343
GNE,73902425
GMD,8242253
GES,20389571
GSS,86540654
GTG,142658
GNX,276642134
GTK,76053381
GMA,74746746
GPR,4046116
GSW,373852683
GID,37738585
GBG,135835
GLA,4089425
GC1,295658650
GLE,3739823
GCS,8157197
GEV,1454693
GFI,330206002
GSC,9177578
GLH,287941
GFL,4765080
GBP,135990
GVF,76686708
GLB,139207
GBE,3696332
GME,139906
GOE,257739
GCN,136328
GFY,81833644
GMN,35626577
GOR,4888443
GCR,136381
